Subject,Question,Option A,Option B,Option C,Option D,Correct Answer,Chapter Name,Correct Option
Maths,The GST paid on an item costing ₹1000 at 18% is: ,₹ 180,₹ 80,"₹ 1,180",₹ 100, A,GST / Commercial Maths,
Maths,"If the principal is ₹5000 and CI for 2 years at 10% is ₹1,025, what is the amount? ","₹ 6,025","₹ 6,020","₹ 6,026","₹ 5,200", A,Compound Interest,
Maths,The solution set of 2x + 3 = 7 is: , {2} , {3} , {1} , {–2} , C,Linear Equations,
Maths,"If x² – 9 = 0, then x = ", ±3 , ±9 ,0,3, A,Quadratic Equations,
Maths,"The product of matrices [[1,2],[3,4]] and [[2,0],[1,2]] is: "," [[4,4],[10,8]] "," [[2,2],[4,4]] "," [[3,4],[5,6]] "," [[1,1],[1,1]] ", A,Matrices,
Maths,"If x : y = 3 : 4, then y : x = ", 4 : 3 , 3 : 4 , 7 : 3 , 1 : 1 , A,Ratio and Proportion,
Maths,"5th term of AP 3, 7, 11… is: ",19,15,11,23, A,Arithmetic Progression,
Maths,"The midpoint of (2,–3) and (6,5) is: "," (4,1) "," (3,1) "," (8,2) "," (2,5) ", A,Coordinate Geometry,
Maths,"In a right triangle with angles 30°, 60°, 90°, the sides are in ratio: ", 1:√3:2 , 1:1:1 , 2:2:2 , 1:2:3 , A,Trigonometry,
Maths,The probability of getting an even number on a fair die is: , 1/2 , 1/3 , 1/6 , 2/3 , A,Probability,
Maths,"If GST rate is 12% on ₹750 item, total GST = ",₹ 90,₹ 75,₹ 120,₹ 180, A,GST / Commercial Maths,
Maths,The roots of x² – 5x + 6 = 0 are: ," 2, 3 "," –2, –3 "," 1, 6 "," 3, 2 ", A,Quadratic Equations,
Maths,"The determinant of [[2,3],[4,5]] is: ", –2 ,2, –1 ,1, A,Matrices,
Maths,If ratio a:b = 5:8 and b:c = 3:4 then a:c = , 5:8 , 15:32 , 5:12 , 3:2 , B,Ratio and Proportion,
Maths,Sum of first 10 natural numbers is: ,55,45,65,50, A,Series / Summation,
Maths,"Reflection of point (3,4) in x-axis is: "," (3,–4) "," (–3,4) "," (–3,–4) "," (3,4) ", A,Coordinate Geometry,
Maths,"In a circle, equal chords are: ", equidistant from the centre , unequal , perpendicular , concentric , A,Geometry – Circles,
Maths,The perimeter of a rectangle 5 by 8 is: ,26,40,13,20, A,Mensuration,
Maths,The circumference of a circle radius 7 cm is: , 44 cm , 14 cm , 28 cm , 22 cm , A,Mensuration,
Maths,"Mean of (2,4,6,8) is: ",5,6,4,7, A,Measures of Central Tendency,
Maths,"Median of (3,5,7,9,11) is: ",7,5,9,11, A,Measures of Central Tendency,
Maths,sin 30° = , 1/2 , √3/2 ,1,0, A,Trigonometry,
Maths,"If tan θ = 1, then θ = ", 45° , 30° , 60° , 90° , A,Trigonometry,
Maths,The area of triangle with base 10 and height 6 is: ,30,60,16,20, A,Mensuration,
Maths,Solution of 3x + 4 < 10 is: , x < 2 , x > 2 , x < 3 , x > 3 , A,Linear Inequalities,
Maths,"If dividend theorem is applied to f(x), remainder is: ", f(a) , a ,0, x , A,Remainder Theorem,
Maths,"For a combined ratio 2:3 and 3:4, a:b:c = ", 8:12:12 , 6:9:12 , 2:3:4 , 3:4:5 , B,Ratio and Proportion,
Maths,"For geometric progression 2,4,8…, 4th term is: ",16,12,10,8, A,Geometric Progression,
Maths,"Distance between (1,2) and (4,6) is: ",5,7,6,4, A,Coordinate Geometry,
Maths,Solution of 2x² – 8x = 0 is: ," {0,4} "," {2,4} "," {1,4} "," {0,2} ", A,Quadratic Equations,
Maths,Compound interest on ₹800 at 10% for 1 year = ,₹ 80,₹ 90,₹ 75,₹ 100, A,Compound Interest,
Maths,If 4x + 1 = 13 then x = ,3,2,4,1, A,Linear Equations,
Maths,"In a matrix, row × column = ", product , sum , identity , quotient , A,Matrices,
Maths,Ratio of 15:45 simplifies to: , 1:3 , 3:1 , 1:2 , 2:3 , A,Ratio and Proportion,
Maths,Sum of interior angles of a triangle = , 180° , 360° , 90° , 270° , A,Geometry – Triangles,
Maths,Quadratic equation with roots 2 & 3: , x² –5x+6=0 , x²+5x+6=0 , x²–x+6=0 , x –1=0 , A,Quadratic Equations,
Maths,Scalar multiple of matrix multiplies: , each element , diagonal only , trace , inverse , A,Matrices,
Maths,"If sin θ = cos θ, θ = ", 45° , 30° , 60° , 90° , A,Trigonometry,
Maths,Area of circle radius 14 = , 616π , 196π , 88π , 78π , A,Mensuration,
Maths,"Probability of selecting red from 5 red, 3 blue = ", 5/8 , 3/8 , 1/2 , 5/3 , A,Probability,
Maths,The solution of 5 + x = 12 is: ,7,5,17,12, A,Linear Equations,
Maths,"In proportion 4:8 = x:16, x = ",8,6,4,12, A,Ratio and Proportion,
Maths,"Arithmetic mean of 10,20,30 is: ",20,30,15,25, A,Measures of Central Tendency,
Maths,Perimeter of square of side 9 is: ,36,27,18,45, A,Mensuration,
Maths,Log10 100 = ,2,1,3,0, A,Logarithms,
Maths,"If angle of elevation = 30°, height = 10, base = ",17.32,5,10,8.66, D,Trigonometry / Geometry,
Maths,"In a frequency distribution, the mode is: ", highest frequency , lowest , average , range , A,Measures of Central Tendency,
Maths,Simple interest on ₹1000 @ 5% for 2 years = ,₹ 100,₹ 200,₹ 50,₹ 150, B,Simple Interest,
Maths,Quadratic eqn with no real roots has discriminant: , <0 , >0 , =0 , infinite , A,Quadratic Equations,
Maths,"Gradient of line through (1,2) & (3,6) = ",2,1,4,3, A,Coordinate Geometry,
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,A is false but R is true,C,Quadratic Equations,
Maths,"The HCF and LCM of two numbers are 12 and 180 respectively. If one number is 36, the other number is",48,60,72,90,B,Number Theory,
Maths,The quadratic equation whose roots are 3 and –5 is,x² + 2x – 15 = 0,x² – 2x – 15 = 0,x² + 15x – 2 = 0,x² – 15x – 2 = 0,A,Quadratic Equations,
Maths,"The 15th term of the AP: –7, –3, 1, 5, … is",49,51,53,55,B,Arithmetic Progre,
Maths,"If sin θ = √3/2 and θ is acute, then cos θ equals",1/2,√3/2,–1/2,–√3/2,A,Trignometry,
Maths,The value of k for which the lines 3x – ky = 1 and 6x – 4y = 5 are parallel is,2,4,6,8,B,Geometry,
Maths,"The determinant of the matrix [[2, 3], [4, 6]] is",6,12,0,–6,C,Matrices,
Maths,The radius of a circle whose area is 154 cm² is,7 cm,14 cm,21 cm,3.5 cm,A,Construction,
Maths,"If tan A = 1, then A equals",30°,45°,60°,90°,B,Trignometry,
Maths,"The distance between points (2, –3) and (–4, 5) is",√68,10,√100,√52,C,Geometry,
Maths,"If the mean of the first n natural numbers is 20, then n equals",19,39,40,41,B,"Stasticts, Measures of central tendancy",
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Heat,
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Alpha particles,Beta particles,X-rays,Gamma rays,D,Modern Physics,
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,"Work, Force & Energy",
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Frequency decreases,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,B,Light,
Physics,[Sound] The pitch of a sound depends on:,Speed of sound,Distance from source,Frequency of vibration,Amplitude of vibration,C,Sound,
Physics,[Electricity] A resistor of resistance 4 Î© is connected to a 5 V battery. The current flowing through the circuit is:,1.75 A,2.25 A,0.95 A,1.25 A,D,Electricity,
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0Â°C to water at 0Â°C is called:,Specific heat capacity,Latent heat of vaporization,Thermal capacity,Latent heat of fusion,D,Heat,
Physics,[Electricity] A resistor of resistance 3 Î© is connected to a 7 V battery. The current flowing through the circuit is:,2.33 A,3.33 A,2.83 A,2.03 A,A,Electricity,
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,Magnetism,
Chemistry,[Organic Chemistry] The functional group present in ethanol is:,-CH2,-OH,-NH2,-COOH,B,Organic Chemistry,
Chemistry,[Analytical Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,A is true but R is false,A,Analytical Chemistry,
Chemistry,[Periodic Table] Which of the following elements has the highest electronegativity?,Fluorine,Oxygen,Chlorine,Nitrogen,A,Periodic Table,
Chemistry,The bond formed by sharing of electrons is called:,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,C,Chemical Bonding,
Chemistry,Which salt is formed when hydrochloric acid reacts with sodium hydroxide?,Sodium sulphate,Sodium chloride,Sodium carbonate,Sodium nitrate,B,"Acids, Bases & Salts",
Chemistry, The number of molecules in one mole of a substance is,6.022e23,9.8,3.0e18,1.6e-19,A,Mole Concept,
Chemistry,"During electrolysis, oxidation occurs at the:",Anode,External circuit,Electrolyte,Cathode,A,Electrolysis,
Chemistry,Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,A is false but R is true,Both A and R are true but R is not the correct explanation of A,B,Study of Compounds,
Chemistry, Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Electrolysis,
Chemistry,Which process is used for the concentration of sulphide ores?,Electrolysis,Froth flotation,Roasting,Calcination,B,Metallurgy,
Chemistry,Which gas is evolved when zinc reacts with dilute sulphuric acid?,Carbon dioxide,Oxygen,Sulphur dioxide,Hydrogen,D,Study of Compounds,
Chemistry,Which reagent is used to test the presence of chloride ions?,Lime water,Barium chloride,Silver nitrate,Phenolphthalein,C,Analytical Chemistry,
Chemistry,"[Acids, Bases & Salts] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.",A is true but R is false,A is false but R is true,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,"Acids, Bases & Salts",
Chemistry,[Periodic Table] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Periodic Table,
Chemistry,[Organic Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true but R is not the correct explanation of A,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Organic Chemistry,
Chemistry,[Metallurgy] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Metallurgy,
Chemistry,[Mole Concept] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,B,Mole Concept,
Biology,[Genetics & Evolution] Which of the following is a sex-linked disease?,Haemophilia,Malaria,Tuberculosis,Cholera,A,Genetics & Evolution,
