Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty,,,,
Maths,The GST paid on an item costing ₹1000 at 18% is: ,₹ 180,₹ 80,"₹ 1,180",₹ 100, A,Medium,,,,
Maths,"If the principal is ₹5000 and CI for 2 years at 10% is ₹1,025, what is the amount? ","₹ 6,025","₹ 6,020","₹ 6,026","₹ 5,200", A,Hard,,,,
Maths,The solution set of 2x + 3 = 7 is: , {2} , {3} , {1} , {–2} , C,Easy,,,,
Maths,"If x² – 9 = 0, then x = ", ±3 , ±9 ,0,3, A,Medium,,,,
Maths,"The product of matrices [[1,2],[3,4]] and [[2,0],[1,2]] is: "," [[4,4],[10,8]] "," [[2,2],[4,4]] "," [[3,4],[5,6]] "," [[1,1],[1,1]] ", A,Hard,,,,
Maths,"If x : y = 3 : 4, then y : x = ", 4 : 3 , 3 : 4 , 7 : 3 , 1 : 1 , A,Easy,,,,
Maths,"5th term of AP 3, 7, 11… is: ",19,15,11,23, A,Medium,,,,
Maths,"The midpoint of (2,–3) and (6,5) is: "," (4,1) "," (3,1) "," (8,2) "," (2,5) ", A,Hard,,,,
Maths,"In a right triangle with angles 30°, 60°, 90°, the sides are in ratio: ", 1:√3:2 , 1:1:1 , 2:2:2 , 1:2:3 , A,Easy,,,,
Maths,The probability of getting an even number on a fair die is: , 1/2 , 1/3 , 1/6 , 2/3 , A,Medium,,,,
Maths,"If GST rate is 12% on ₹750 item, total GST = ",₹ 90,₹ 75,₹ 120,₹ 180, A,Hard,,,,
Maths,The roots of x² – 5x + 6 = 0 are: ," 2, 3 "," –2, –3 "," 1, 6 "," 3, 2 ", A,Easy,,,,
Maths,"The determinant of [[2,3],[4,5]] is: ", –2 ,2, –1 ,1, A,Medium,,,,
Maths,If ratio a:b = 5:8 and b:c = 3:4 then a:c = , 5:8 , 15:32 , 5:12 , 3:2 , B,Hard,,,,
Maths,Sum of first 10 natural numbers is: ,55,45,65,50, A,Easy,,,,
Maths,"Reflection of point (3,4) in x-axis is: "," (3,–4) "," (–3,4) "," (–3,–4) "," (3,4) ", A,Medium,,,,
