Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
Maths,"[Quadratic Equations] Sample Question 1: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 2: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 3: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 4: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 5: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 6: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 7: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 8: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 9: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 10: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 11: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 12: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 13: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 14: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 15: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 16: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 17: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 18: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 19: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 20: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 21: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 22: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 23: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 24: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 25: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 26: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 27: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 28: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 29: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 30: If x = 1, find the value.",0,1,2,3,B,Easy
